quote,author,category
"I loved going to the Chiang Kai Shek Memorial in Taipei to watch all the old Chinese people doing tai chi and practicing kung fu. The monument was made of white marble, and it was beautiful. Sometimes my dad and I would practice with them.",Jimmy Chin,"Beautiful, Practice, People "
"The whole thing for me is that I did 'Full House' and 'America's Funniest Home Videos,' and I look like a dentist, and I'm a dad. Being known as a dirty comedian turned into this weird thing. It's people's image of me.",Bob Saget,"Home, America, Me "
"My dad always jokes that we should have a reality TV show because my friends and I pull crazy stunts, like putting Saran Wrap on the toilet.",Sofia Richie,"Friends, Crazy, Reality "
"I grew up watching my dad be a singer, so it's something I've always been interested in.",Sofia Richie,"Singer, Up, Always "
"I like all the angels around because they protect me and my daughter. I mean, her Dad's an angel.",Courtney Love,"Daughter, Me, Angel "
"My father never raised his hand to any one of his children, except in self-defense.",Fred Allen,"Children, Father, Never "
"My dad is so unique in what he does. It's not like I'm taking a torch from him and doing his thing. I hope I've carried from him a little bit of a sense of irony, a little bit of a wink.",Willie Geist,"Hope, Unique, Irony "
"My dad said if you become a tennis professional just make sure you get into the top hundred, because you have to make a little bit of money. You make a living so you can pay your coaching and, you know, your travels.",Roger Federer,"Money, Coaching, Tennis "
All of my high school male teachers were WWII and/or Korean War veterans. They taught my brothers and me the value of service to our country and reinforced what our dad had shown us about the meaning of service.,Oliver North,"School, Service, War "
"My dad is really just lazy. He has nothing, I feel, to offer this world.",Sasha Grey,"World, Lazy, Nothing "
"La Mancha is a very macho, chauvinistic society. I saw very clearly that my life had to be in Madrid, and I liberated myself from my mum and dad after high school.",Pedro Almodovar,"Life, Myself, School "
It is impossible to please all the world and one's father.,Jean de La Fontaine,"Father, World, Impossible "
"I've had some amazing people in my life. Look at my father - he came from a small fishing village of five hundred people and at six foot four with giant ears and a kind of very odd expression, thought he could be a movie star. So go figure, you know?",Kiefer Sutherland,"Life, Father, Fishing "
"Between Prince and my dad's fusion-jazz records, I didn't have a choice in being funky.",Patrick Stump,"Choice, Funky, Records "
I look for strong people. I don't like people who'll say yes to everything I might bring up. I want people who can argue and disagree and have a point of view that's reflected in the magazine. My dad believed in the cult of personality. He brought great writers and columnists to 'The Standard.',Anna Wintour,"Great, Strong, Personality "
"My dad would call me his Cuban princess because I had really dark olive skin because I was always in the sun; but I don't really go in the sun anymore, so that is why I am so white.",Bella Thorne,"Sun, I Am, Me "
I don't think I have any guilt or embarrassment about any of the TV shows I watch. Maybe the fact that the shows I can watch over and over again are cartoons like 'Bob's Burgers' and 'American Dad' and 'Rick & Morty.',Ross Butler,"American, Guilt, Think "
"Sometimes, being a single mother, I miss the freedom. I see my other friends with kids, and when they go out for a drink, it is the dad that stays in.",Julia Restoin Roitfeld,"Friends, Freedom, Mother "
"I'm going to take care of the man I'm with. I grew up in a household where my mum takes care of my dad - she cooks, she does everything - and that's the kind of girl I am.",Nicole Scherzinger,"Man, I Am, Girl "
"My dad and uncles were among the 125,000 proud black American volunteers who, throughout their entire lives, considered their decision to serve during WWII as their greatest honor.",Burgess Owens,"Decision, American, Greatest "
"My dad always taught me to never be satisfied, to want more and know that what is done is done.",Thierry Henry,"Me, Want, Know "
To say that my dad pushed me is an understatement. I was never naturally drawn to football.,Thierry Henry,"Football, Me, Say "
"I never saw my dad cry. My son saw me cry. My dad never told me he loved me, and consequently I told Scott I loved him every other minute. The point is, I'll make less mistakes than my dad, my sons hopefully will make less mistakes than me, and their sons will make less mistakes than their dads.",James Caan,"Son, Mistakes, Me "
"I've always liked telling stories. That probably came from my dad, who definitely had the gift of gab and who wove a kind of personal folklore about his youth - stories full of adventure and ghosts and wild antics.",Cullen Bunn,"Adventure, Youth, Gift "
I would never have done what I'd done if I'd considered my father as somebody I wanted to please.,Robert Mapplethorpe,"Father, Done, Never "
"People who have not done their research on me do not know that I am European, born in Copenhagen, Denmark to an Italian father from Napoli and a mother from Alabama who was singing opera and went to Europe, met my dad, fell in love, and then moved back to Rome, where I was raised, between Rome and Hamburg.",Giancarlo Esposito,"Love, Father, Mother "
"My parents have a ridiculous work ethic; my dad just works, works, works, works, works. I think it would be hard to find a guy who's logged more hours than that guy.",Bill Burr,"Work, Parents, Work Ethic "
"When I was a boy, I used to pull a big cross saw with my dad. He'd use his right hand, so I'd have to use my left.",Joe Frazier,"Boy, Hand, Right "
"When I was a teenager, I was an umpire for a competitive league for 8- to 9-year-olds. I was really bad at it because I didn't know all the rules, and all these kids were better athletes than me. I made a bad call, and this dad snapped on me. Then he dumped his trash from his cooler, and I had to kick him out of the stands.",Adam DeVine,"Rules, Me, Know "
"If I took the 40 years of my dad talking to me about war and battles and taking me to battlefields and distilled it down into one question, it would probably be the idea of the necessary or unnecessary war.",Suzanne Collins,"War, Me, Down "
What harsh judges fathers are to all young men!,Terence,"Men, Young, Judges "
Employee fathers need to step up to the plate and put their family needs on the table.,James Levine,"Family, Step, Employee "
"These things were happening in my life where I was like, 'Man, I wish my pops was here to see this.' I never had those thoughts before fame, when my life was just a regular life. I wasn't saying, 'I wish my dad could be around and see me working at Applebee's.'",Kid Cudi,"Life, Man, Me "
"My dad was an attorney. The last thing he ever thought about was clothes, and yet somehow he always looked good.",Thom Browne,"Good, Thought, Clothes "
