quote,author,category
"I grew up on film sets and I had a ball. It wouldn't have had nearly as much fun if my dad had been working behind a desk somewhere. I remember being on the set of 'The Godfather: Part III,' and all the kids were running around and doing crazy things, and Francis Ford Coppola just embraced that.",Dominik Garcia-Lorido,"Crazy, Fun, Remember "
"I wanted to emulate my parents - Mum captained India in basketball, and Dad won a bronze in hockey in 1972 Olympics. My focus has always been to achieve excellence whether in the field of tennis, in the corporate field, in the art of acting or in motivating youngsters.",Leander Paes,"Art, Excellence, Parents "
Being a father to my family and a husband is to me much more important than what I did in the business.,Tom Bosley,"Family, Business, Father "
"My dad always said, 'Don't worry what people think, because you can't change it.'",Daisy Donovan,"Change, Worry, People "
"I'm lucky to have my dad in my life. He's very brilliant, I think he's really a smart man, and he's a kind guy.",Cody Horn,"Life, Man, Smart "
"I'm a dad and a husband, and so the things that I love to do are all geared around my family.",Pablo Schreiber,"Love, Family, Husband "
"As soon as I was tall enough, my dad used to let me drive him 60 miles or 70 miles to work. That was pretty fun. My dad was really old. At the time, he was 82 years old. He said, 'Can you drive?' and I said 'Yes.' I guess I didn't find it to be that crazy.",Theo Von,"Work, Time, Fun "
"You see people you identify with, and you take pieces of people you like and shape who you are. Like, I sound just like my dad. But that's literally my vocal chords. I can't sound like anything else... I sound like him, but I act like myself.","Damon Wayans, Jr.","Myself, People, You "
"I have this complex. I don't like too much exposure. I don't know why it is. Maybe it's bred in me, because my dad always told me to be humble and don't think you're too good.",Mark Viduka,"Good, Humble, Me "
"I actually wanted to be a police officer like my dad for the longest time, up until my sophomore year in high school when I started doing plays. I did plays when I was little, but in high school, I started getting into acting.",Chad Lindberg,"Time, School, Police "
